Term;Stemmed;Variations;Frequency
square brackets ([ ]);square bracket ([ ]);square brackets ([ ]);0
fibonacci number;fibonacci number;fibonacci numbers, fibonacci number;3
defining and using new;defining and using new;defining and using new;0
jenkins hash function;jenkins hash function;jenkins hash functions, jenkins hash function;0
splitting line;splitting line;splitting lines, splitting line;0
PGM file;pgm file;PGM files, PGM file;0
abstraction;abstraction;abstraction;0
typed;typed;typed;4
lambda calculu;lambda calculu;lambda calculus, lambda calculu;0
datatype;datatype;datatype;0
foldr function;foldr function;foldr function;0
complexity;complexity;complexity;1
curried function;curried function;curried functions, curried function;16
autocommit mode (databases);autocommit mode ( database );autocommit mode (databases);0
order;order;order;70
restriction;restriction;restrictions, restriction;5
feedback;feedback;feedback;0
right value;right value;right value;0
setfiletimes function;setfiletimes function;setfiletimes function;0
parse type 2nd;parse type 2nd;parse type 2nd;0
runtime option;runtime option;runtime options, runtime option;0
regexp [see regular expressions];regexp [ see regular expression ];regexp [see regular expressions];0
writing;writing;writing;6
type-based testing;type-based testing;type-based testing;0
throw function;throw function;throw function;0
type checking;type checking;type checking;0
programming with;programming with;programming with;5
IO type;io type;IO type;0
memory location;memory location;memory locations, memory location;0
tointeger function;tointeger function;tointeger function;0
maybe monad;maybe monad;maybe monads, maybe monad;0
type name;type name;type names, type name;0
hanging lambda;hanging lambda;hanging lambdas, hanging lambda;0
derivedatatypeable;derivedatatypeable;derivedatatypeable;0
directory;directory;directories, directory;0
combining;combining;combining;13
symbolic evaluation;symbolic evaluation;symbolic evaluation;0
lazy evaluation;lazy evaluation;lazy evaluations, lazy evaluation;27
juxtaposition;juxtaposition;juxtaposition;0
realtofrac function;realtofrac function;realtofrac function;0
multiline literal;multiline literal;multiline literals, multiline literal;0
GHCi;ghci;ghci, GHCi;0
frominteger function;frominteger function;frominteger function;0
quickcheck function;quickcheck function;quickcheck function;0
Data.Map module 2nd;Data.Map module 2nd;Data.Map module 2nd;0
parallel programs 2nd;parallel program 2nd;parallel programs 2nd;0
shared pattern;shared pattern;shared patterns, shared pattern;0
multiline string literal;multiline string literal;multiline string literals, multiline string literal;0
infix;infix;infix;2
shiftr function;shiftr function;shiftr function;0
logging;logging;logging;0
filter;filter;filter;14
Coding.hs;Coding.hs;Coding.hs;0
signature;signature;signatures, signature;0
hugs interpreter;hug interpreter;hugs interpreter;0
>>;>>;>>;0
coding;coding;coding;0
idempotency;idempotency;idempotency;0
IConnection typeclass;iconnection typeclass;IConnection typeclass;0
prefix notation;prefix notation;prefix notation;0
value comparison;value comparison;value comparisons, value comparison;0
>>= (bind) function;>>= ( bind ) function;>>= (bind) function;0
any newtype constructor;any newtype constructor;any newtype constructor;0
word type;word type;word type;0
isalpha;isalpha;isalpha;2
string type;string type;string type;0
atomically block;atomically block;atomically blocks, atomically block;0
signum;signum;signum;10
x:xs pattern;x : x pattern;x:xs pattern;0
regular expression;regular expression;regular expressions, regular expression;0
keyword;keyword;keyword;0
expr;expr;expr;29
representing datum;representing datum;representing data, representing datum;0
tree;tree;tree;72
property-based testing;property-based testing;property-based testing;0
pi value;pi value;pi value;0
matching on;matching on;matching on;3
infinite list;infinite list;infinite lists, infinite list;12
fractional division (/) option;fractional division (/) option;fractional division (/) option;0
question mark (?);question mark (?);question mark (?);0
parsebyte function;parsebyte function;parsebyte function;0
putstr;putstr;putstr;4
elem;elem;elem;0
commutativity;commutativity;commutativity;8
pattern match;pattern match;pattern matches, pattern match;0
latency;latency;latency;0
strings and character;string and character;strings and characters, strings and character;0
seq function;seq function;seq function;0
tuple;tuple;tuples, tuple;21
test datum;test datum;test data, test datum;0
prompt directive (ghci);prompt directive ( ghci );prompt directive (ghci);0
ternary type;ternary type;ternary type;0
threeequal;threeequal;threeequal;0
return keyword;return keyword;return keyword;0
synonyms (types);synonym ( type );synonyms (types);0
recursive type;recursive type;recursive types, recursive type;9
try keyword;try keyword;try keyword;0
recursive data structure;recursive data structure;recursive data structure;0
downloading support material;downloading support material;downloading support materials, downloading support material;0
HPC (Haskell Program Coverage);hpc ( haskell program coverage );HPC (Haskell Program Coverage);0
digittoint;digittoint;digittoint;0
sum;sum;sum;36
UPC-A barcodes;UPC-A barcodes;UPC-A barcodes;0
syntax;syntax;syntax;3
I/O and;I/O and;I/O and;0
do notation;do notation;do notation;0
monad law;monad law;monad laws, monad law;0
palindrome;palindrome;palindrome;0
layout;layout;layout;7
ix type;ix type;ix type;0
Control.Monad.Trans module;Control.Monad.Trans module;Control.Monad.Trans module;0
cons operator;con operator;cons operator;5
case study;case study;case studies, case study;0
pcre.h header file;pcre.h header file;pcre.h header file;0
mapping over;mapping over;mapping over;0
directories and file;directory and file;directories and files, directories and file;0
hseek function;hseek function;hseek function;0
logbase function;logbase function;logbase function;0
closing file handle;closing file handle;closing file handles, closing file handle;0
3d vector type;3d vector type;3d vector type;0
list monad;list monad;list monads, list monad;0
overloaded literal;overloaded literal;overloaded literals, overloaded literal;0
implication;implication;implication;2
lifted function;lifted function;lifted functions, lifted function;0
program termination;program termination;program termination;0
Control.Exception module 2nd 3rd;Control.Exception module 2nd 3rd;Control.Exception module 2nd 3rd;0
mtl library 2nd;mtl library 2nd;mtl library 2nd;0
LINE pragma;line pragma;LINE pragma;0
num;num;num;15
result;result;result;180
Haskell Foreign Function Interface (FFI);haskell foreign function interface ( ffi );Haskell Foreign Function Interface (FFI);0
eratosthene;eratosthene;eratosthenes, eratosthene;0
type declaration;type declaration;type declaration;5
types and purity;type and purity;types and purity;0
filename;filename;filenames, filename;1
identity parser;identity parser;identity parsers, identity parser;0
text I/O;text I/O;text I/O;0
sort function;sort function;sort function;0
lazy;lazy;lazy;44
Product id of barcodes;product id of barcodes;Product IDs of barcodes, Product id of barcodes;0
preprocessor;preprocessor;preprocessor;0
I/O (input/output) and;I/O (input/output) and;I/O (input/output) and;0
seek pointer;seek pointer;seek pointers, seek pointer;0
shell scripting;shell scripting;shell scripting;0
monad;monad;monads, monad;9
internal module;internal module;internal modules, internal module;0
pack function;pack function;pack function;0
comprehension;comprehension;comprehensions, comprehension;44
type definition;type definition;type definitions, type definition;0
maybe type;maybe type;maybe type;0
exception type;exception type;exception type;0
simplification;simplification;simplification;4
replicate;replicate;replicate;7
putstrln function 2nd 3rd;putstrln function 2nd 3rd;putstrln function 2nd 3rd;0
flexible;flexible;flexible;1
dropwhile;dropwhile;dropwhile;3
processing [see file processing];processing [ see file processing ];processing [see file processing];0
syntax error;syntax error;syntax error;0
System.FilePath module 2nd;System.FilePath module 2nd;System.FilePath module 2nd;0
monomorphism restriction;monomorphism restriction;monomorphism restriction;0
record syntax 2nd;record syntax 2nd;record syntax 2nd;0
monoid instance;monoid instance;monoid instance;0
exception;exception;exceptions, exception;2
program development;program development;program development;0
boilerplate code;boilerplate code;boilerplate code;0
or function;or function;or function;0
bytestring module;bytestring module;bytestring modules, bytestring module;0
advantage of functional programming;advantage of functional programming;advantages of functional programming, advantage of functional programming;0
boolean logic;boolean logic;boolean logic;0
IO;io;IO;12
custom data types for;custom data type for;custom data types for;0
id;id;id;9
Data.Traversable module;Data.Traversable module;Data.Traversable module;0
specialization;specialization;specialization;0
recursion;recursion;recursion;57
beside;beside;beside;0
MVar type 2nd 3rd;mvar type 2nd 3rd;MVar type 2nd 3rd;0
haskell 98;haskell 98;haskell 98;0
listing directories with;listing directory with;listing directories with;0
-sstderr RTS option 2nd;-sstderr RTS option 2nd;-sstderr RTS option 2nd;0
nil;nil;nil;1
state monads 2nd 3rd;state monad 2nd 3rd;state monads 2nd 3rd;0
isalphanum;isalphanum;isalphanum;2
emptydatadecl;emptydatadecl;emptydatadecls, emptydatadecl;0
type class constraint;type class constraint;type class constraint;0
file modification;file modification;file modifications, file modification;0
compiling source code;compiling source code;compiling source code;0
System.IO;System.IO;System.IO;0
C PCRE API;C PCRE API;C PCRE API;0
unification;unification;unification;0
nobuffering mode (buffermode);nobuffering mode ( buffermode );nobuffering mode (buffermode);0
just;just;just;22
permissive type;permissive type;permissive types, permissive type;0
Build-Depends field;Build-Depends field;Build-Depends fields, Build-Depends field;0
currying;currying;currying;6
anonymous (lambda) functions 2nd;anonymous ( lambda ) function 2nd;anonymous (lambda) functions 2nd;0
transformer;transformer;transformers, transformer;0
data-directed programming;data-directed programming;data-directed programming;0
pure error handling;pure error handling;pure error handling;0
gen environment;gen environment;gen environment;0
nothing value;nothing value;nothing value;0
character;character;characters, character;76
newtype declaration;newtype declaration;newtype declarations, newtype declaration;0
recursive case;recursive case;recursive case;6
reuse;reuse;reuse;0
SELECT statement;select statement;SELECT statements, SELECT statement;0
monad stack;monad stack;monad stack;0
fusion;fusion;fusion;0
zipwith function;zipwith function;zipwith function;0
combining function;combining function;combining functions, combining function;0
the list monad;the list monad;the list monad;0
reading/modifying state;reading/modifying state;reading/modifying state;0
transformer stacking;transformer stacking;transformer stacking;0
fixity;fixity;fixity;0
starvation;starvation;starvation;0
toupper function;toupper function;toupper function;0
withtransaction function;withtransaction function;withtransaction function;0
type class instance;type class instance;type class instance;0
program error;program error;program error;1
Haskell Program Coverage (HPC);haskell program coverage ( hpc );Haskell Program Coverage (HPC);0
quicksort algorithm;quicksort algorithm;quicksort algorithm;0
category theory;category theory;category theory;2
Data.Monoid module;Data.Monoid module;Data.Monoid module;0
Data.Sequence module;Data.Sequence module;Data.Sequence module;0
core;core;cores, core;0
overlappinginstances language extension;overlappinginstances language extension;overlappinginstances language extension;0
automatic derivation;automatic derivation;automatic derivation;0
precedence and associativity;precedence and associativity;precedence and associativity;0
left-biased function;left-biased function;left-biased functions, left-biased function;0
foldr1;foldr1;foldr1;0
substitution;substitution;substitution;8
word64 type;word64 type;word64 type;0
strong type;strong type;strong types, strong type;0
getmodificationtime function;getmodificationtime function;getmodificationtime function;0
pseudo-random number;pseudo-random number;pseudo-random numbers, pseudo-random number;0
sum type;sum type;sum types, sum type;0
curry;curry;curry;2
Control.Parallel.Strategies module;Control.Parallel.Strategies module;Control.Parallel.Strategies module;0
float;float;float;18
parsing;parsing;parsing;8
rendering;rendering;rendering;0
haskell;haskell;haskell;122
base case;base case;base case;23
writechan function;writechan function;writechan function;0
ghc compiler 2nd;ghc compiler 2nd;ghc compiler 2nd;0
openbinarytempfile function;openbinarytempfile function;openbinarytempfile function;0
DST (Daylight Saving Time);dst ( daylight saving time );DST (Daylight Saving Time);0
head;head;head;24
randomr function;randomr function;randomr function;0
else keyword;else keyword;else keyword;0
putst function;putst function;putst function;0
subclassing;subclassing;subclassing;0
implicit state 2nd;implicit state 2nd;implicit state 2nd;0
program transformation;program transformation;program transformation;0
templates (c++);template ( c ++);templates (c++);0
vs. tab character;vs. tab character;vs. tab characters, vs. tab character;0
maximum;maximum;maximum;0
closed world assumption;closed world assumption;closed world assumptions, closed world assumption;0
traverse function 2nd;traverse function 2nd;traverse function 2nd;0
UTC (Coordinated Universal Time);utc ( coordinated universal time );UTC (Coordinated Universal Time);0
IO monad;io monad;IO monad;0
sfetchallrows' function;sfetchallrows ' function;sfetchallrows' function;0
wild card;wild card;wild card;0
putstrln;putstrln;putstrln;3
main loop (GUI programming);main loop ( gui programming );main loop (GUI programming);0
blackhorse;blackhorse;blackhorse;0
thunk;thunk;thunks, thunk;0
NTree;ntree;NTree;0
-fvia-C GHC option;-fvia-C GHC option;-fvia-C GHC option;0
Foreign.C.String module 2nd;Foreign.C.String module 2nd;Foreign.C.String module 2nd;0
floating;floating;floating;9
equational reasoning;equational reasoning;equational reasoning;6
immutable state;immutable state;immutable states, immutable state;0
enum keyword (C/C++);enum keyword (C/C++);enum keyword (C/C++);0
picture;picture;pictures, picture;0
thread map;thread map;thread maps, thread map;0
mutable array;mutable array;mutable arrays, mutable array;0
miranda;miranda;miranda;0
variable;variable;variable;26
fst;fst;fst;9
time;time;times, time;33
applicative operator;applicative operator;applicative operator;0
intensionality;intensionality;intensionality;0
insert function;insert function;insert function;0
concept;concept;concepts, concept;6
out of scope;out of scope;out of scope;0
cases (value constructors);case ( value constructor );cases (value constructors);0
linebuffering mode (buffermode);linebuffering mode ( buffermode );linebuffering mode (buffermode);0
map function;map function;map function;0
printf (c) option;printf ( c ) option;printf (c) option;0
graph;graph;graph;0
case expression;case expression;case expressions, case expression;0
p3 (plain) netpbm image format;p3 ( plain ) netpbm image format;p3 (plain) netpbm image format;0
isspace;isspace;isspace;2
predicate;predicate;predicates, predicate;14
scientific notation;scientific notation;scientific notation;0
string;string;strings, string;119
associativity of operators;associativity of operator;associativity of operators;0
control-with-character escapes;control-with-character escapes;control-with-character escapes;0
universal newline support;universal newline support;universal newline support;0
numeric 2nd;numeric 2nd;numeric 2nd;0
newtype;newtype;newtype;1
programming environment;programming environment;programming environment;0
binary function;binary function;binary function;0
structural recursion;structural recursion;structural recursion;0
invertcolour;invertcolour;invertcolour;0
div;div;div;21
accumulation;accumulation;accumulation;4
conversion between types;conversion between type;conversion between types;0
standard library;standard library;standard libraries, standard library;9
typeclasses 2nd;typeclasses 2nd;typeclasses 2nd;0
pipe (|);pipe (|);pipe (|);0
true boolean value;true boolean value;true boolean value;0
GET method (HTTP);get method ( http );GET method (HTTP);0
fmap;fmap;fmap;0
barcode;barcode;barcodes, barcode;0
parse type;parse type;parse type;0
intergral;intergral;intergral;0
undefinedness;undefinedness;undefinedness;0
ubuntu linux;ubuntu linux;ubuntu linux;0
mempty;mempty;mempty;0
hamming number;hamming number;hamming numbers, hamming number;0
example;example;examples, example;407
queue;queue;queue;0
properties as function;property a function;properties as functions, properties as function;0
NF (normal form);nf ( normal form );NF (normal form);0
whitespace in expressions;whitespace in expression;whitespace in expressions;0
logical;logical;logical;42
language extension;language extension;language extensions, language extension;0
shift function;shift function;shift function;0
pair (2-tuple);pair (2-tuple);pair (2-tuple);0
GHC-Options property;GHC-Options property;GHC-Options property;0
prelude module 2nd;prelude module 2nd;prelude module 2nd;0
scope;scope;scope;0
parsec helper function;parsec helper function;parsec helper functions, parsec helper function;0
leaky code;leaky code;leaky code;0
serverstate;serverstate;serverstate;0
sharing;sharing;sharing;5
head function 2nd 3rd;head function 2nd 3rd;head function 2nd 3rd;0
concat function 2nd 3rd;concat function 2nd 3rd;concat function 2nd 3rd;0
Data.Foldable module 2nd;Data.Foldable module 2nd;Data.Foldable module 2nd;0
otherwise expression;otherwise expression;otherwise expression;0
PostgreSQL;postgresql;PostgreSQL;0
hash tables 2nd;hash table 2nd;hash tables 2nd;0
poke function;poke function;poke function;0
functional programming;functional programming;functional programming;2
floating-point number;floating-point number;floating-point numbers, floating-point number;7
binary search tree;binary search tree;binary search tree;0
arithmetic expression;arithmetic expression;arithmetic expressions, arithmetic expression;19
return calls 2nd;return call 2nd;return calls 2nd;0
stream;stream;stream;0
indice of arrays;indice of array;indices of arrays, indice of arrays;0
right-associative signature;right-associative signature;right-associative signatures, right-associative signature;0
substring;substring;substrings, substring;0
custom data type for errors;custom data type for error;custom data types for errors, custom data type for errors;0
purity;purity;purity;0
logical or (||);logical or (||);logical or (||);0
inheritance;inheritance;inheritance;0
general recursion;general recursion;general recursion;0
international language support;international language support;international language support;0
Control.Applicative module;Control.Applicative module;Control.Applicative module;0
pure;pure;pure;7
parameter;parameter;parameters, parameter;8
cl compiler;cl compiler;cl compiler;0
map;map;maps, map;31
product;product;product;40
strictness;strictness;strictness;0
max;max;max;3
JSON typeclass;json typeclass;JSON typeclasses, JSON typeclass;0
monadic use;monadic use;monadic use;0
date;date;dates, date;0
lifting;lifting;lifting;0
maybe;maybe;maybe;8
explicit;explicit;explicit;21
combinator function;combinator function;combinator functions, combinator function;0
first function;first function;first function;0
waiting for other threads;waiting for other thread;waiting for other threads;0
GHC;ghc;GHC;3
character class;character class;character classes, character class;0
non-strict evaluation;non-strict evaluation;non-strict evaluation;0
search tree;search tree;search tree;5
primitive recursion;primitive recursion;primitive recursion;0
fliph;fliph;fliph;0
pointer;pointer;pointers, pointer;5
System.Posix.Files module;System.Posix.Files module;System.Posix.Files module;0
polymorphic types 2nd;polymorphic type 2nd;polymorphic types 2nd;0
window;window;windows, window;2
bison command;bison command;bison command;0
user IDs (UIDs);user ids ( uids );user IDs (UIDs);0
qualifier;qualifier;qualifier;0
ADT (abstract data types);adt ( abstract data type );ADT (abstract data types);0
qualified;qualified;qualified;0
pattern matching;pattern matching;pattern matching;20
definedness;definedness;definedness;0
equality;equality;equality;17
name;name;name;47
partial function;partial function;partial functions, partial function;0
drop;drop;drop;20
type system;type system;type system;2
square;square;square;26
taking advantage;taking advantage;taking advantage;0
well typed rule;well typed rule;well typed rules, well typed rule;0
folding over arrays;folding over array;folding over arrays;0
web site;web site;web site;0
naming;naming;naming;5
eq;eq;eq;18
programming paradigm;programming paradigm;programming paradigms, programming paradigm;0
shadowing;shadowing;shadowing;0
FFI (Haskell Foreign Function Interface);ffi ( haskell foreign function interface );FFI (Haskell Foreign Function Interface);0
putstr function;putstr function;putstr function;0
HTTP request;http request;HTTP requests, HTTP request;0
maybet monad transformer 2nd;maybet monad transformer 2nd;maybet monad transformer 2nd;0
then and else branch;then and else branch;then and else branches, then and else branch;0
supermarket billing;supermarket billing;supermarket billing;0
ord;ord;ord;18
rawsystem function 2nd;rawsystem function 2nd;rawsystem function 2nd;0
mode based testing;mode based testing;mode based testing;0
derivedatatypeable language;derivedatatypeable language;derivedatatypeable language;0
programming;programming;programming;25
patternguard;patternguard;patternguards, patternguard;0
Data.Function module;Data.Function module;Data.Function module;0
recursive definition;recursive definition;recursive definition;8
handlejust function;handlejust function;handlejust function;0
islower;islower;islower;2
isupper;isupper;isupper;2
lambda;lambda;lambda;44
saving;saving;saving;0
enumeration type;enumeration type;enumeration types, enumeration type;0
clause;clause;clause;0
flexibleinstance;flexibleinstance;flexibleinstances, flexibleinstance;0
type constructor;type constructor;type constructors, type constructor;0
message;message;messages, message;7
partial application;partial application;partial applications, partial application;2
convention;convention;conventions, convention;14
domino effect;domino effect;domino effect;2
hug;hug;hugs, hug;1
-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;0
concurrent programming with threads;concurrent programming with thread;concurrent programming with threads;0
turning two into many;turning two into many;turning two into many;0
diffarray type;diffarray type;diffarray type;0
function application;function application;function application;15
headers (HTTP);header ( http );headers (HTTP);0
argument;argument;argument;182
generalization;generalization;generalization;0
ant;ant;ant;0
ptr type;ptr type;ptr type;0
conditional equation;conditional equation;conditional equation;0
getst function;getst function;getst function;0
object file;object file;object files, object file;0
import directive 2nd;import directive 2nd;import directive 2nd;0
any;any;any;94
visibility of definitions;visibility of definition;visibility of definitions;0
exhaustive pattern;exhaustive pattern;exhaustive patterns, exhaustive pattern;0
monads and 2nd;monad and 2nd;monads and 2nd;0
take;take;take;64
struct keyword (C/C++);struct keyword (C/C++);struct keyword (C/C++);0
data keyword;data keyword;data keyword;0
main thread waiting for other threads;main thread waiting for other thread;main thread waiting for other threads;0
stateful computation;stateful computation;stateful computations, stateful computation;0
runtime statistic;runtime statistic;runtime statistics, runtime statistic;0
tail function 2nd 3rd 4th;tail function 2nd 3rd 4th;tail function 2nd 3rd 4th;0
infix form;infix form;infix form;0
synonym;synonym;synonyms, synonym;3
lazy I/O;lazy I/O;lazy I/O;0
grayscale image format 2nd;grayscale image format 2nd;grayscale image format 2nd;0
pattern;pattern;patterns, pattern;84
typed pointer;typed pointer;typed pointers, typed pointer;0
:reload command;: reload command;:reload command;0
show;show;show;67
API design;api design;API design;0
HUnit library;hunit library;HUnit library;0
lambda expression;lambda expression;lambda expression;19
external program;external program;external programs, external program;0
XML;xml;XML;0
sequential sorting;sequential sorting;sequential sorting;0
Data.Ratio module;Data.Ratio module;Data.Ratio module;0
universal quantifier;universal quantifier;universal quantifier;0
functional picture;functional picture;functional pictures, functional picture;0
filterm;filterm;filterm;0
split function;split function;split function;0
waitfor function;waitfor function;waitfor function;0
Data.Bits module;Data.Bits module;Data.Bits module;0
text I/O and;text I/O and;text I/O and;0
foldl and foldr function;foldl and foldr function;foldl and foldr functions, foldl and foldr function;0
generics (java);generic ( java );generics (java);0
typeable typeclass;typeable typeclass;typeable typeclass;0
dynamic programming;dynamic programming;dynamic programming;0
conjunction;conjunction;conjunction;9
formal parameter;formal parameter;formal parameter;0
passing datum between c and haskell;passing datum between c and haskell;passing data between c and haskell, passing datum between c and haskell;0
source file;source file;source files, source file;0
resource;resource;resources, resource;1
string-handling;string-handling;string-handling;0
filter function 2nd;filter function 2nd;filter function 2nd;0
exclusive or;exclusive or;exclusive or;0
safe keyword;safe keyword;safe keyword;0
ASCII control code;ascii control code;ASCII control codes, ASCII control code;0
generalizednewtypederiving 2nd 3rd;generalizednewtypederiving 2nd 3rd;generalizednewtypederiving 2nd 3rd;0
where;where;where;15
abstract data type;abstract data type;abstract data type;0
algebraic data structure;algebraic data structure;algebraic data structure;0
rnf function;rnf function;rnf function;0
mainloop keyword;mainloop keyword;mainloop keyword;0
monoid;monoid;monoids, monoid;0
unlines function 2nd;unlines function 2nd;unlines function 2nd;0
manufacturer ID of barcodes;manufacturer id of barcodes;manufacturer ID of barcodes;0
malloc c function;malloc c function;malloc c function;0
stdin function;stdin function;stdin function;0
import;import;import;1
spine for maps;spine for map;spines for maps, spine for maps;0
System.Time module;System.Time module;System.Time module;0
triple (3-tuple);triple (3-tuple);triple (3-tuple);0
serialization;serialization;serialization;0
lists and tuple;list and tuple;lists and tuples, lists and tuple;1
Text.Regex.Posix module;Text.Regex.Posix module;Text.Regex.Posix module;0
hsc2hs command;hsc2hs command;hsc2hs command;0
interface file;interface file;interface files, interface file;0
expression;expression;expressions, expression;268
type variable;type variable;type variables, type variable;4
float type;float type;float type;0
PCRE (Perl-compatible regular expression);PCRE (Perl-compatible regular expression);PCRE (Perl-compatible regular expression);0
filtering;filtering;filtering;1
continuation;continuation;continuations, continuation;0
quot function;quot function;quot function;0
hoogle;hoogle;hoogle;0
huffman code;huffman code;huffman codes, huffman code;0
GUI (graphical user interface) programming;gui ( graphical user interface ) programming;GUI (graphical user interface) programming;0
INSERT query;insert query;INSERT queries, INSERT query;0
class declaration;class declaration;class declarations, class declaration;1
side effect;side effect;side effects, side effect;10
space leak;space leak;space leak;0
declaration;declaration;declaration;34
project idea;project idea;project ideas, project idea;0
specializing for IO;specializing for io;specializing for IO;0
ranges (pattern matching);range ( pattern matching );ranges (pattern matching);0
lists 2nd 3rd 4th;list 2nd 3rd 4th;lists 2nd 3rd 4th;0
java programming language;java programming language;java programming language;0
System.Random;System.Random;System.Random;0
Control.Parallel module;Control.Parallel module;Control.Parallel module;0
modification time;modification time;modification times, modification time;0
exceptions 2nd;exception 2nd;exceptions 2nd;0
strict and lazy;strict and lazy;strict and lazy;0
System.Random module;System.Random module;System.Random module;0
concatenation;concatenation;concatenation;1
parse;parse;parse;10
word8 type;word8 type;word8 type;0
binary;binary;binary;28
System.Exit module;System.Exit module;System.Exit module;0
second function;second function;second function;0
left value 2nd;left value 2nd;left value 2nd;0
arbitrary function;arbitrary function;arbitrary function;0
bangpattern;bangpattern;bangpatterns, bangpattern;0
standard module;standard module;standard module;0
lazy reading from databases;lazy reading from database;lazy reading from databases;0
static type;static type;static types, static type;0
haselfmagic function;haselfmagic function;haselfmagic function;0
running;running;running;7
floating-point operator;floating-point operator;floating-point operators, floating-point operator;0
report flag (hpc);report flag ( hpc );report flag (hpc);0
interact function;interact function;interact function;0
termination;termination;termination;10
model;model;models, model;2
System.IO library;System.IO library;System.IO library;0
conditional expression;conditional expression;conditional expression;14
line constructor;line constructor;line constructor;0
adding safely to PCRE;adding safely to PCRE;adding safely to PCRE;0
bounded type class;bounded type class;bounded type class;0
unicode;unicode;unicode;5
typesynonyminstances 2nd;typesynonyminstances 2nd;typesynonyminstances 2nd;0
deconstructor;deconstructor;deconstructors, deconstructor;0
getprocessstatus function;getprocessstatus function;getprocessstatus function;0
readint function 2nd;readint function 2nd;readint function 2nd;0
fedora linux;fedora linux;fedora linux;0
mathematical induction;mathematical induction;mathematical induction;0
read;read;reads, read;30
composition|see{function composition;composition | see { function composition;composition|see{function composition;0
metadata (database);metadata ( database );metadata (database);0
module declaration;module declaration;module declarations, module declaration;0
mod;mod;mod;11
podcatcher;podcatcher;podcatcher;0
constant applicative forms (CAFs);constant applicative form ( cafs );constant applicative forms (CAFs);0
quickcheck 2nd;quickcheck 2nd;quickcheck 2nd;0
peek function;peek function;peek function;0
multiparamtypeclass;multiparamtypeclass;multiparamtypeclasses, multiparamtypeclass;0
output;output;output;11
parsetimes function;parsetimes function;parsetimes function;0
take function;take function;take function;1
toupper;toupper;toupper;0
line function;line function;line function;0
